timestamp,metric,value,distance_km
0.000732,distance_km,1,
0.000732,key_rate,0.04342694,1
0.000732,qber,0.00498029,1
0.000732,distance_km,5,
0.000732,key_rate,0.02657557,5
0.000732,qber,0.02439143,5
0.001259,distance_km,10,
0.001259,key_rate,0.01412935,10
0.001259,qber,0.04758884,10
0.001259,distance_km,20,
0.001259,key_rate,0.00244348,20
0.001259,qber,0.09064604,20
0.001259,distance_km,30,
0.001259,key_rate,0.0,30
0.001259,qber,0.12960821,30
0.001776,distance_km,50,
0.001776,key_rate,0.0,50
0.001776,qber,0.19677483,50
0.001776,distance_km,75,
0.001776,key_rate,0.0,75
0.001776,qber,0.26393309,75
0.001776,distance_km,100,
0.001776,key_rate,0.0,100
0.001776,qber,0.31640191,100
0.001776,distance_km,150,
0.001776,key_rate,0.0,150
0.001776,qber,0.39146247,150
0.001776,distance_km,200,
0.001776,key_rate,0.0,200
0.001776,qber,0.45813543,200
