scenario,distance_km,qber,key_rate,tx_prob,eve_present,intercept_rate,is_secure,throughput_mbps,avg_delay_ms,packet_loss_rate,packets_sent,packets_recv,jitter_ms,tls_handshake_ms,tls_data_transfer_ms
distance_sweep,1.00000000,0.00497508,0.04343074,0.09549926,0,0.00000000,1,260.8480,0.1041,0.0000,648399,647974,0.0067,4.4000,0.0800
distance_sweep,5.00000000,0.02438529,0.02657817,0.07943282,0,0.00000000,1,260.8561,0.0984,0.0000,648765,648306,0.0066,4.4001,0.0800
distance_sweep,10.00000000,0.04758129,0.01413141,0.06309573,0,0.00000000,1,260.8529,0.0994,0.0000,648719,648264,0.0068,4.4003,0.0800
distance_sweep,20.00000000,0.09063462,0.00244499,0.03981072,0,0.00000000,1,260.8427,0.1063,0.0000,648029,647632,0.0067,4.4006,0.0801
distance_sweep,30.00000000,0.12959089,0.00000000,0.02511886,0,0.00000000,0,260.8448,0.1045,0.0000,648313,647891,0.0067,4.4009,0.0801
distance_sweep,50.00000000,0.19673467,0.00000000,0.01000000,0,0.00000000,0,104.9575,0.0725,0.0000,262436,262260,0.0034,4.4015,0.0803
distance_sweep,75.00000000,0.26381672,0.00000000,0.00316228,0,0.00000000,0,260.8544,0.0989,0.0000,648887,648416,0.0068,4.4022,0.0804
distance_sweep,100.00000000,0.31606028,0.00000000,0.00100000,0,0.00000000,0,131.2719,0.0768,0.0000,328369,328151,0.0040,4.4030,0.0805
distance_sweep,150.00000000,0.38843492,0.00000000,0.00010000,0,0.00000000,0,260.8541,0.1064,0.0000,648212,647818,0.0066,4.4045,0.0808
distance_sweep,200.00000000,0.43233236,0.00000000,0.00001000,0,0.00000000,0,260.8524,0.1020,0.0000,648469,648041,0.0067,4.4060,0.0810
